D,T,O,H,L,C
2017/1/4,951,1963.36,1963.4,1963.01,1963.06
2017/1/4,952,1962.93,1963,1962.43,1962.43
2017/1/4,953,1962.41,1962.77,1962.23,1962.29
2017/1/4,954,1962.27,1962.45,1962.13,1962.19
2017/1/4,955,1962.1,1962.24,1961.86,1961.95
2017/1/4,956,1962.05,1962.26,1962.05,1962.23
2017/1/4,957,1962.27,1962.46,1962.13,1962.24
2017/1/4,958,1962.26,1962.43,1962.02,1962.28
2017/1/4,959,1962.4,1962.59,1962.2,1962.23
2017/1/4,1000,1962.24,1962.36,1962.06,1962.06
2017/1/4,1001,1962,1962.1,1961.31,1961.31
2017/1/4,1002,1961.34,1961.45,1960.85,1960.85
2017/1/4,1003,1960.89,1960.97,1960.6,1960.63
2017/1/4,1004,1960.56,1960.56,1959.81,1959.93
2017/1/4,1005,1960,1960.26,1959.57,1959.93
2017/1/4,1006,1959.83,1960.51,1959.83,1960.26
2017/1/4,1007,1960.47,1961.5,1960.47,1961.47
2017/1/4,1008,1961.49,1961.93,1961.31,1961.91
2017/1/4,1009,1961.78,1962.15,1961.41,1961.73
2017/1/4,1010,1961.74,1962.47,1961.59,1962.47
2017/1/4,1011,1962.67,1963.17,1962.43,1963.07
2017/1/4,1012,1963.11,1963.82,1963.11,1963.73
2017/1/4,1013,1963.62,1964.22,1963.62,1964.19
2017/1/4,1014,1964.1,1964.29,1963.51,1963.65
2017/1/4,1015,1963.56,1963.87,1963.38,1963.48
2017/1/4,1016,1963.39,1963.7,1963.3,1963.37
2017/1/4,1017,1963.41,1964.14,1963.36,1963.82
2017/1/4,1018,1963.86,1964.21,1963.75,1964.03
2017/1/4,1019,1964.07,1964.28,1963.82,1963.84
2017/1/4,1020,1963.74,1964.38,1963.71,1964.38
2017/1/4,1021,1964.5,1964.63,1964.11,1964.43
2017/1/4,1022,1964.53,1965.68,1964.53,1965.65
2017/1/4,1023,1965.57,1966.51,1965.57,1966.51
2017/1/4,1024,1966.64,1966.75,1966.29,1966.62
2017/1/4,1025,1966.7,1967.35,1966.42,1967.35
2017/1/4,1026,1967.09,1967.42,1967.03,1967.38
2017/1/4,1027,1967.42,1967.91,1967.42,1967.89
2017/1/4,1028,1967.88,1968.29,1967.4,1968.26
2017/1/4,1029,1968.16,1968.63,1968.06,1968.26
2017/1/4,1030,1968.25,1968.82,1968.19,1968.49
2017/1/4,1031,1968.38,1970.62,1968.38,1970.32
2017/1/4,1032,1970.37,1971.98,1970.2,1971.65
2017/1/4,1033,1971.87,1972.91,1971.87,1972.91
2017/1/4,1034,1972.74,1973.89,1972.74,1973.89
2017/1/4,1035,1973.82,1974.37,1973.82,1974.35
2017/1/4,1036,1974.31,1974.4,1973.99,1974.13
2017/1/4,1037,1973.99,1973.99,1973.65,1973.86
2017/1/4,1038,1973.77,1973.77,1973.04,1973.04
2017/1/4,1039,1973.07,1973.2,1972.59,1972.67
2017/1/4,1040,1972.69,1972.93,1972.6,1972.82
2017/1/4,1041,1972.91,1972.95,1972.39,1972.77
2017/1/4,1042,1972.81,1972.97,1972.37,1972.87
2017/1/4,1043,1972.5,1972.88,1971.49,1971.89
2017/1/4,1044,1971.81,1972.25,1971.67,1971.76
2017/1/4,1045,1971.71,1972.44,1971.68,1971.84
2017/1/4,1046,1971.92,1972.64,1971.92,1972.64
2017/1/4,1047,1972.47,1973.25,1972.47,1973.1
2017/1/4,1048,1973.3,1975.95,1973.27,1975.95
2017/1/4,1049,1975.6,1976.75,1975.38,1976.75
2017/1/4,1050,1976.57,1977,1976.54,1977
2017/1/4,1051,1976.98,1977.14,1976.78,1977.07
2017/1/4,1052,1977.04,1977.27,1976.84,1976.9
2017/1/4,1053,1976.87,1977.31,1976.82,1976.85
2017/1/4,1054,1976.89,1977.15,1976.35,1976.67
2017/1/4,1055,1976.76,1976.78,1976,1976.06
2017/1/4,1056,1976.17,1976.58,1975.97,1976.17
2017/1/4,1057,1976.31,1976.71,1976.2,1976.38
2017/1/4,1058,1976.46,1976.73,1976.15,1976.59
2017/1/4,1059,1976.57,1977.15,1976.5,1976.95
2017/1/4,1100,1976.82,1977.31,1976.82,1977.22
2017/1/4,1101,1977.26,1977.39,1976.8,1977.39
2017/1/4,1102,1977.35,1977.66,1977.28,1977.44
2017/1/4,1103,1977.65,1977.65,1976.38,1976.38
2017/1/4,1104,1976.69,1977.45,1976.69,1977.15
2017/1/4,1105,1977.2,1977.72,1977.1,1977.42
2017/1/4,1106,1977.62,1978.51,1977.61,1977.94
2017/1/4,1107,1977.9,1978.86,1977.87,1978.45
2017/1/4,1108,1978.57,1978.67,1978.38,1978.57
2017/1/4,1109,1978.59,1978.92,1978.59,1978.66
2017/1/4,1110,1978.65,1978.87,1978.34,1978.4
2017/1/4,1111,1978.44,1978.76,1978.23,1978.4
2017/1/4,1112,1978.64,1979.24,1978.53,1978.94
2017/1/4,1113,1979.07,1979.31,1978.94,1979.12
2017/1/4,1114,1979.18,1979.61,1979.18,1979.51
2017/1/4,1115,1979.52,1979.63,1979.36,1979.57
2017/1/4,1116,1979.6,1979.77,1979.42,1979.48
2017/1/4,1117,1979.43,1979.68,1979.41,1979.55
2017/1/4,1118,1979.38,1979.61,1979.13,1979.31
2017/1/4,1119,1979.32,1979.6,1979.12,1979.34
2017/1/4,1120,1979.28,1979.6,1979.25,1979.28
2017/1/4,1121,1979.29,1979.87,1979.21,1979.74
2017/1/4,1122,1979.89,1980.23,1979.8,1980.1
2017/1/4,1123,1980,1981.33,1980,1981.33
2017/1/4,1124,1981.27,1981.29,1980.93,1981.14
2017/1/4,1125,1981.1,1981.63,1981.08,1981.63
2017/1/4,1126,1981.69,1982.54,1981.58,1982.54
2017/1/4,1127,1982.35,1983.17,1982.35,1982.95
2017/1/4,1128,1983.25,1983.88,1983.14,1983.88
2017/1/4,1129,1983.89,1984.33,1983.83,1984.03
2017/1/4,1300,1984.1,1986.16,1984,1985.91
2017/1/4,1301,1985.91,1985.91,1985.91,1985.91
2017/1/4,1302,1985.71,1986.26,1985.43,1985.45
2017/1/4,1303,1985.42,1986.07,1985.42,1986.07
2017/1/4,1304,1986.04,1986.14,1985.49,1985.81
2017/1/4,1305,1985.79,1985.81,1985.21,1985.21
2017/1/4,1306,1985.34,1985.64,1985.11,1985.37
2017/1/4,1307,1985.45,1985.62,1984.98,1985.1
2017/1/4,1308,1985.17,1985.5,1985.15,1985.41
2017/1/4,1309,1985.38,1985.51,1985.25,1985.39
2017/1/4,1310,1985.53,1986.02,1985.45,1985.93
2017/1/4,1311,1986.06,1986.53,1985.99,1986.53
2017/1/4,1312,1986.66,1986.87,1986.39,1986.39
2017/1/4,1313,1986.38,1986.74,1986.19,1986.47
2017/1/4,1314,1986.47,1987.3,1986.47,1987.3
2017/1/4,1315,1987.32,1987.4,1986.85,1987.08
2017/1/4,1316,1987.08,1987.73,1987.08,1987.73
2017/1/4,1317,1987.51,1987.9,1987.31,1987.7
2017/1/4,1318,1987.64,1987.81,1987.39,1987.4
2017/1/4,1319,1987.27,1987.3,1986.46,1986.71
2017/1/4,1320,1986.71,1986.91,1985.97,1986.38
2017/1/4,1321,1986.79,1986.85,1986.37,1986.85
2017/1/4,1322,1986.72,1986.73,1986.35,1986.73
2017/1/4,1323,1986.67,1986.88,1986.37,1986.78
2017/1/4,1324,1986.77,1987.09,1986.53,1986.61
2017/1/4,1325,1986.68,1987.25,1986.66,1987.08
